this_year_bycond,this_year_descrip_e,this_year_descrip_f,last_year_bycond,last_year_descrip_e,last_year_descrip_f
LEVEL3ID = 348,SID - Information Management and Technology (Chief Information Officer),SID - Gestion de l'information et de la technologie (Dirigeant principal de l'information),LEVEL3ID = 349,SID - Information Management and Technology,SID - Gestion de l'information et de la technologie
LEVEL2ID = 219,TFM - Trade Policy and Negotiations,TFM - Politique et négociations commerciales,LEVEL2ID = 218,TFM - Trade Policy and Negotiations and Chief Trade Negotiator NAFTA,TFM - Politique et négociations commerciales et négociateur en chef de l'ALÉNA
LEVEL3ID = 349,TFM - ADM Office / TFMA - Associate ADM / TFMU - Corporate Administrative Services / TMD - Chief Air Negotiator / Intellectual Property and Services Trade / TPD - Market Access,TFM - Bureau du SMA / TFMA - SMA déléguée / TFMU - Services administratifs ministériels / TMD - Négociateur en chef des accords aériens / Propriété intellectuelle et services commerciaux / TPD - Accès aux marchés,LEVEL3ID = 350,"TFM ADM Office / TBMO - Business Management Office for Trade Policy and Negotiations and Chief Trade Negotiator NAFTA / TFMA - Associate ADM Trade Policy and Negotiations / TFD - Special Adviser & Economic Analysis / TMD - Chief Air Negotiator and DG for Services, Intellectual Property and Investment","Bureau du SMA TFM / TBMO - Bureau de la gestion des activités du Secteur de la Politique et négociations commerciales et négociateur en chef de l'ALÉNA / TFMA - SMA délégué, Politique et négociations commerciales / TFD - Conseiller spécial et analyse économique / TMD - Négociateur en chef des accords aériens et directeur général sur la propriété intellectuelle, les services et l'investissement"
LEVEL3ID = 350,TCD - Trade Negotiations / TND - North American Trade Policy and Negotiations Bureau,TCD - Négociations commerciales / TND - Bureau de la politique commerciale et négociations en Amérique du Nord,LEVEL3ID = 351,"TCD - Trade Negotiations / TND - North America, Trade Policy and Negotiations",TCD - Négociations commerciales / TND - Politique et négociations commerciales pour l'Amérique du Nord
LEVEL3ID = 351,TID - Trade and Export Controls,TID - Réglementation commerciale et contrôles à l'exportation,LEVEL3ID = 353,TID - Trade Exports Controls,TID - Réglementation commerciale et contrôles à l'exportation
LEVEL2ID = 220,WGM - Sub-Saharian Africa,WGM - Afrique subsaharienne,LEVEL2ID = 219,WGM - Sub-Saharan Africa,WGM - Afrique subsaharienne
LEVEL3ID = 352,WGM - ADM Office / WFD - Pan-Africa Bureau / WWD - West and Central Africa Bureau,WGM - Bureau du SMA / WFD - Direction générale panafricaine / WWD - Direction générale de l'Afrique de l'Ouest et du Centre,LEVEL3ID = 354,WGM ADM Office / WFD - Pan-Africa / WWD - West and Central Africa,Bureau du SMA WGM / WFD - Affaires panafricaines / WWD - Afrique de l'Ouest et du Centre
LEVEL3ID = 353,WED - Southern and Eastern Africa Bureau,WED - Direction générale de l'Afrique australe et de l'Est,LEVEL3ID = 355,WED - Southern and Eastern Africa,WED - Afrique australe et de l'Est
LEVEL3ID = 354,"Office of the Chief of Protocol / XDC - Diplomatic Corps Services / XDE - Summits, Official Events & Management Services / XDV - Official Visits","Bureau du Protocole / XDC - Service du Corps Diplomatique / XDE - Sommets, événements officiels et services des gestion / XDV - Visites officielles",LEVEL3ID = 356,Office of the Chief of Protocol / XDE - Official Events and Management Services / XDC - Diplomatic Corps Services / XDV - Official Visits,"Bureau du Chef du Protocole / XDE - Sommets, événements officiels et services de gestion / XDC - Service du Corps Diplomatique / XDV - Visites officielles"
NA,NA,NA,LEVEL3ID = 331,LCD - Public Affairs,LCD - Affaires publiques
NA,NA,NA,LEVEL3ID = 344,PVD - Development Policy Planning,PVD - Politique d'aide internationale
NA,NA,NA,LEVEL3ID = 352,TPD - Market Access,TPD - Accès aux marchés
